sentence,processing_sentence
고객요청사항대 수신불정상회선단말특이사항진단결과기타추가연락처,고객 요청사항 대 수신 불 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항화면끊김 리셋후동일 잦은고장 꼼꼼한점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 화면 끊김 리셋 후 동일 잦은 고장 꼼꼼한 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 작동불  매장재고 없음 인입택배발송 통합설정 페어링 발송및 안내,리모컨 작동 불 매장 재고 없음 인 입택배 발송 통합 설정 페어링 발송 및 안내
고객요청사항 네트워크오류뜸방문점검요청빠른방문요회선단말특이사항진단결과기타추가연락처  연후방,고객 요청사항 네트워크 오류뜸 방문 점검 요청 빠른 방문이 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
리셋접수월일 고객요청사항 티비수신불회선단말특이사항 진단결과 올인홈모뎀정상리셋기타추가연락처 인입 ,리셋 접수일 일 고객 요청사항 티브이 수 신불 회선 단말 특이사항 진단 결과 올인 홈 모뎀 정상리 셋 기타 추가 연락처인 입
고객요청사항번채널로전환된다고함리모컨작동불채널확은음소거회선단말특이사항진단결과기타추가연락처,고객 요청사항 번 채널로 전환된다고 함 리모컨 작동 부을 채널 확은 음소거 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항방문독촉당일방문요청코로나이상무재확인필티수신불일정확인중회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 방문 독촉 당일 방문 요청 코로나 이 상 무재 확인 필 티 수신 불일 정 확인 중회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항리모컨교체 방문요청회선단말특이사항진단결과정상기타추가연락처코로나검사 결과 후 재연락,고객 요청사항 리모컨 교체 방문 요청회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처 코로나 검사 결과 후 재연락
고객요청사항 방송 나왔다가 업데이트중 나오며 안되다가 잘 나오다가도 편성표 누르면 갑자기 안되고 되다 안되다함 불만인입시 시청안되고 있어 상담중 리셋후 다시 시청은 됨영업장인데 어떻게 이러고 있냐며 불만해지언급까지함코로나무회선단말특이사항진단결과기타추가연락처,고객 요청사항 방송 나왔다가 업데이트 중 나오며 안 되다가 잘 나오다가도 편성표 누르면 갑자기 안 되고 되다 안 되다 함 불만인 입시 시청 안 되고 있어 상담 중 리셋 후 다시 시청은 됨 영업장인데 어떻게 이러고 있냐며 불만 해지 언급까지 한 코로 나무 회선 단말 특이사항 진단 결과 기타 추가 연락처
권유실패고객요청사항  리모콘 일부버튼 작동안됨 내방안내거부 등록 배송 요청회선단말특이사항진단결과기타추가연락처,권유 실패 고객 요청사항 리모컨 일부 버튼 작동 안 됨 내 방은 내 거부 등록 배송 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신중 화면끊김 셋탑리셋동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 중 화면 끊김 셋탑 리셋 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
  시 수신불 스트림에러,시 수신 불 스트림 에러
독촉 영업장고객요청사항수신불 네트워크오류 로딩중 장비리셋거부회선단말특이사항진단결과진단안됨기타추가연락처,독촉 영업장 고객 요청사항 수신 불 네트워크 오류 로딩 중 장비니 셋 거부 회선 단말 특이사항 진단 결과 진단 안됨 기타 추가 연락처
고객요청사항리모컨 시시 작동불가방문해서교체요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 시 시 작동 불가 방문해서 교체 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수시로신미약 비상채널전환됨 날씨영향무 리셋 코로나무 미리연락요 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수시로 신미약 비상채널 전환됨 날씨 영향무 리셋 코로 나무 미리 연락요 회선 단말 특이사항 진단 결과 기타 추가 연락처
시시사이방문요청하심오후 부재중으로 오전방문요청고객요청사항티대수신불비정상회선단말특이사항진단결과기타추가연락처,시시 사이 방문 요청하심 오후 부재중으로 오전 방문 요청 고객 요청사항 티대수신불비 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동불가기가지니 리모컨은 채녈변경불가일반리모컨은 외부입력이 안된다고 둘다 교체요청 문자발송회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불가기가 지니 리모컨은 채널 변경 불가 일반 리모컨은 외부 입력이 안 된다고 둘 다 교체 요청 문자 발송 회선 단말 특이사항 진단 결과 기타 추가 연락처
당일 부활코로나이상무재확인필고객요청사항거실티만 수신불네트워크 오류요금납부후 대만 안됨재부팅해도 동일일 늦다며 독촉극심확인하니 일이 빠름해지언급회선단말특이사항진단결과기타추가연락처,당일 부활 코로나 이 상 무재 확인 필 고객 요청사항 거실 티만 수신 불 네트워크 오류 요금 납부 후 대만 안됨 재부팅해도 동일일 늦다며 독촉 극심 확인하니 일이 빠름 해지 언급 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수건 수신불 기  업 생략,리셋 접수건 수신 불 기 업 생략
수신불리셋후정상사용됨,수신 불 리셋 후 정상 사용됨
본인리모컨 작동불 내방 설정  전송,본인 리모컨 작동 불 내방 설정 전송
멤버십리셋접수건고객요청사항리셋아웃콜코로나 이상무재확인필일오후시방문요티비시청불로딩중연락후회선단말특이사항진단결과정상기타추가연락처,멤버십 리셋 접수 건 고객 요청 사하이 리셋 아웃 콜 코로나 이 상무 재확인 필 일 오후 시 방문요 티브이 시청 불로딩 중 연락 우회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
빠른방문요청고객요청사항봇신미약뜨면서안됨리셋해도안됨코로나이상무재확인필회선단말특이사항진단결과임의회선기타추가연락처,빠른 방문 요청 고객 요청사항 봇신미약 뜨면서 안됨 리셋해도 안됨 코로나 이 상무 재확인 필 회선 단말 특이사항 진단 결과 임의 회선 기타 추가 연락처
고객요청사항기가지니 리모컨 상하 버튼만 작동불 리셋후동일 회선단말특이사항진단결과기타추가연락처,고객 요청사항기가 지니 리모컨 상하 버튼만 작동 불 리셋 후 동일 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항리모컨 분실코스등록회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 분실 코스 등록 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 리모컨도 안주고갔다고함연후방빠른방문요청회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 수신 불 리모컨도 안 주고 갔다고 함은 후 방 빠른 방문 요청회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처
음성인식 관련 문의,음성인식 관련 문의
고객요청사항기가지니 전원빨간색에서 바뀌지 않음 기가지니 작동안된다함 방문전연락요회선단말특이사항진단결과기타추가연락처,고객 요청사항기가 지니 전원 빨간색에서 바뀌지 않음 기가 지니 작동 안 된 다함 방문 전 연락 요 회선 단말 특이사항 진단 결과 기타 추가 연락처
시청중 화면 하얗게 바뀌었다 다시 나옴 반복 연후방 업실패회선단말특이사항진단결과기타추가연락처,시청 중 화면 하얗게 바뀌었다 다시 나옴 반복 연후방 업 실패 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항일부 신미약나오고안됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 일부 신미약 나오고 안됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불리모컨 교체 및 음성인식안됨셋탑 점검 및 교체요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 부을 리모컨 교체 및 음성인식 안됨 셋탑 점검 및 교체 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수수신불스트림에러뜸회선단말특이사항진단결과기타추가연락처,리셋 접수 수신 불 스트림 에러 뜸 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불기가지니셋탑도 같이 점검요청함 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불기가 지니 셋탑도 같이 점검 요청함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동불임의회선이라방문해서점검요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불임의 회선이라 방문해서 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
배송접수 리모컨 작동불  등록해드림,배송 접수 리모컨 작동 불 등록해 드림
추가티 라이트로 변경했는데  번 안나옴 리셋 안내정상사용,추가 티 라이트로 변경했는데 번 안 나옴 리셋 안내장 상 사용
기가지니 출시 대답소리 띵 으로 업데이트 되었음 안내,기가 지니 출시 대답 소리 싱으로 업데이트되었음 안내
고객요청사항  닷컴접수  수신불기존에 시청하던 채널이 안나오며 재부팅해도 동일 반응 속도 느림 전반적인 점검희망 접수 시 회선으로 잘못접수 하심 동일장소 점검희망단말특이사항 진단결과 정상기타추가연락처 ,고객 요청사항 닷컴 접수 수신 불기 전에 시청하던 채널이 안 나오며 재부팅해도 동일 반응 속도 느림 전반적인 점검 희망 접수 시 회선으로 잘못 접수하심 동일 장소 점검 희망 단말 특이사항 진단 결과 정상기 타 추가 연락처
